,total_mentions,total_users_mentioned,hourly_mentions,hourly_users_mentioned
AG,1,1,,
AMC,53,51,1.0,1.0
BB,28,28,,
BIG,2,2,,
COLD,1,1,,
DATA,1,1,,
DD,1,1,,
GM,2,2,,
GME,73,70,1.0,1.0
HES,1,1,,
INFO,1,1,,
MAX,1,1,,
MR,1,1,,
NIO,1,1,,
NOK,7,7,,
PLAN,3,3,,
PLTR,1,1,,
POST,1,1,,
RH,11,11,,
SAVE,1,1,,
SEE,3,3,,
WELL,1,1,,
WORK,2,2,,
